GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Traingle_Casification_class_1,Statment_Brancch_coverage.Statment_Brancch_coverage,CheckoutApproval,15,38,6,10,5,12,5,5,1,1
Traingle_Casification_class_1,Statment_Brancch_coverage.Statment_Brancch_coverage,WeakClass,66,0,12,0,18,0,11,0,5,0
